block,stake_size,address
568399,34.20155307,2M3BZiphz1iuJUuZvXJ87wYhHgQcenbyTz
569017,42.256887,2Ttm8Gh6RXou6LZ6t7WjqErVUQCegCs3E4
571835,15.0,2TwEnncttTb2bJk6hHi1JGgGeT4u78grSN
574478,18.52127247,2WCHonmL3m8FEcPQWqrGigDCP7C3k9PkCW
574829,13.5,2GhjM9AsJR2XUKiuKecb7GHRUmQz7Jg1bN
576908,14.85,2UQbNAqaB4LD2rSNRWN6yR8MTWDZY83rLw
580995,5.0,2Gbp17xubGBQ8aGWAi4PRryq9f9UvVmkFd
581270,9.0,2SqCGdg7pYher9tLbeVCmRiQoGxfesvkg1
582295,4.0,2D4FMbNFU3AjRgE3W8RsPS1wAJpW25mDn9
583155,31.27775897,2M3BZiphz1iuJUuZvXJ87wYhHgQcenbyTz
583498,9.0,2RGQ9M3wLm7dm3vWcbYGgtTRJKg47zTdY4
586230,37.5,2JGfErqqFKYKKNabksxuaxaWnTMg2ZULfu
587691,9.9000099,2WCHonmL3m8FEcPQWqrGigDCP7C3k9PkCW
590115,2.611909,2PzjjmMRPLhs7pDJDVCiLTyVoAMQUUZTRu
590430,20.37414419,2WcPim7aLbYCAsvkm1A1pkwztzmYXJdKrF
590455,14.85,2KUkdcUQggPcfvyKnmrv6JCqmfpXqLvfqU
590719,14.85,2Z7SAAuYppKihKoem9hWzSh5ZomgzmVzTA
592820,1.36238532,2M1yzpjAvHx8pSR24wRSxTyWVjUs9ojKgL
593617,12.375,2QSCtDTrjV6ELp2PC8nhdK6wZNvQskqC45
594214,8.25,2TdqciNSMF4S87Fgt5aXjWQhniuMGNTyZ6
595363,1.36238622,2bSTMEWsnG76FMJiNXF9TRajmmceFsMuhU
597363,37.5,2Y5ES6N2g3YSUvqGAMEEtDm9S7FKtbba9C
597794,13.5,2Z7SAAuYppKihKoem9hWzSh5ZomgzmVzTA
598301,30.0,2U5tbFsiux2mayJeYe8ciSnycWGHTTWgcj
599935,9.000009,2WkTFi6EZYdDBBKWfdHMZ9YSWejdjUzpYg
603400,6.1362661,2DMq71bwS3MF1fmx8WtuTS3MVT7EGD1yvE
605226,13.500018,2G1MTSVuq11vuZdwE5CaaFNA5b5ZVfEym8
605242,13.500018,2METq1dvJBsp85NGPMRzHiT9wvkkpKDgVa
606293,37.5,2JGfErqqFKYKKNabksxuaxaWnTMg2ZULfu
607960,15.0,2TwEnncttTb2bJk6hHi1JGgGeT4u78grSN
608590,37.5,2JGfErqqFKYKKNabksxuaxaWnTMg2ZULfu
609061,9.9,2TiNZmiWoxopUXcfKMB272dLYSTyhrmACe
610073,14.85,2KacoWY6TCYJsqSNUn9RR1GVtNUcoAjwFi
611487,1.40094339,2YdN6Jf8iaosmukbuCLYVDt5AdVzNPva7K
611917,9.0,2Mf8HsJAAPs3XkG3TaMpu8bL8hMDqdUNSf
611945,32.43984636,2S3rHYngLmRgGaHiiDecUMaZ5AjHqV1bAC
612283,3.0,2Gbp17xubGBQ8aGWAi4PRryq9f9UvVmkFd
613457,7.505005,2UU3S9HyrWWuwBh6Y1K5dHPsz3EH2Zqiaw
613550,25.0,2JGfErqqFKYKKNabksxuaxaWnTMg2ZULfu
615116,16.5,2V9jqRruRtPz7YyMh3pQMZ9D25T7txcM3n
615677,16.5,2UvNmDkTmFpGn2aXgGnDCVZPmHBrHaRgoX
617212,9.9000099,2DE8JPjTGwh5XnWY975AkpkKs9iDgmZ1yP
624477,1.70689655,2TRfPaU4Eqb7gv8tEKZLpjnk79M7X9g6TP
624933,9.9,2KxKXoSPnnrwXY3kQ6BUq3zp1FSckEanEN
627616,37.5001,2JGfErqqFKYKKNabksxuaxaWnTMg2ZULfu
628881,23.3580618,2DpKGybUagDt6s2RuH3JGwxXieC4XaExhY
630813,9.9,2WcJ6AqhP7gVPPwxLaQ4RDPDp6PKG3Po3g
632210,1.42788461,2JAeCbRhFzz4ANqyY7o1LKKfqE4nGqaRLt
633989,1.44174757,2RYQJKieAp7bkv2LjsCEH9tq5y5WyTecVr
636113,25.0,2JGfErqqFKYKKNabksxuaxaWnTMg2ZULfu
639809,9.9,2Ttm8Gh6RXou6LZ6t7WjqErVUQCegCs3E4
641180,6.0,2D4FMbNFU3AjRgE3W8RsPS1wAJpW25mDn9
641662,43.75197569,2M3BZiphz1iuJUuZvXJ87wYhHgQcenbyTz
642435,1.53092783,2KK19ZF3GN7F5veSri6Kv5bZvi1qcHPHPC
642497,3.0,2QJmgE5tw5XTqZnCpYcLhTqVEDd1k25exE
645369,15.0,2UtMZ5DLocTfTi6eLtcPATHpPn5tc1YzGm
645387,10.0,2S3rHYngLmRgGaHiiDecUMaZ5AjHqV1bAC
649386,45.0,2U5tbFsiux2mayJeYe8ciSnycWGHTTWgcj
651232,2.0,2UtMZ5DLocTfTi6eLtcPATHpPn5tc1YzGm
656249,15.0,2S3rHYngLmRgGaHiiDecUMaZ5AjHqV1bAC
659710,18.5625,2QoxLw5hs3cuBYXrAVLTDYkguXg6QQh2ca
659759,4.5,2S3rHYngLmRgGaHiiDecUMaZ5AjHqV1bAC
660140,14.14285714,2S4km1ssjnygMNzcoUQ2ECjqPLc3iJCJws
661406,4.5,2S3rHYngLmRgGaHiiDecUMaZ5AjHqV1bAC
666297,3.0,2UtMZ5DLocTfTi6eLtcPATHpPn5tc1YzGm
672362,3.0,2S3rHYngLmRgGaHiiDecUMaZ5AjHqV1bAC
675232,1.38785046,2Meqj5cHdkvsJjZyoC1MPhRbNPR24xSDs9
675323,14.85,2Xneg7GCmb36MmNtcH6Ys2Qke8haekhjbf
675629,18.5625,2UFUj91p25nA6fJngHm3oRcZE8FZXmBtrb
