time,pow_blocks,pos_blocks,fpos_blocks,all_blocks
2018-05-22 00:02:39,681,192,219,1092
2018-05-23 00:01:00,673,185,224,1082
2018-05-24 00:01:10,661,179,221,1061
2018-05-25 00:00:45,651,188,225,1064
2018-05-26 00:01:30,653,182,227,1062
2018-05-27 00:03:19,652,175,218,1045
2018-05-28 00:01:51,656,191,227,1074
2018-05-29 00:00:46,657,181,219,1057
2018-05-30 00:01:05,656,186,228,1070
2018-05-31 00:04:06,671,176,231,1078
2018-06-01 00:02:00,675,178,222,1075
2018-06-02 00:04:29,659,184,215,1058
2018-06-03 00:06:03,677,187,225,1089
2018-06-04 00:00:26,674,180,230,1084
2018-06-05 00:01:21,670,185,232,1087
2018-06-06 00:01:10,662,201,223,1086
2018-06-07 00:00:40,671,182,224,1077
2018-06-08 00:01:19,651,180,229,1060
2018-06-09 00:00:03,651,188,221,1060
2018-06-10 00:00:45,645,189,222,1056
2018-06-11 00:03:51,666,175,239,1080
2018-06-12 00:03:27,679,183,217,1079
2018-06-13 00:00:04,662,184,221,1067
2018-06-14 00:03:12,673,197,223,1093
2018-06-15 00:00:03,670,182,214,1066
2018-06-16 00:00:07,684,183,227,1094
2018-06-17 00:04:36,667,184,228,1079
2018-06-18 00:00:43,672,204,231,1107
2018-06-19 00:00:42,681,171,220,1072
2018-06-20 00:01:30,675,182,222,1079
2018-06-21 00:05:13,681,184,231,1096
2018-06-22 00:01:11,676,185,201,1062
2018-06-23 00:01:22,690,186,221,1097
2018-06-24 00:02:14,675,181,217,1073
2018-06-25 00:01:27,675,182,229,1086
2018-06-26 00:00:09,674,184,208,1066
2018-06-27 00:00:31,676,189,218,1083
2018-06-28 00:01:26,668,176,203,1047
2018-06-29 00:01:15,672,192,226,1090
2018-06-30 00:00:17,663,177,208,1048
2018-07-01 00:01:24,656,188,221,1065
2018-07-02 00:02:25,664,184,223,1071
2018-07-03 00:00:15,660,186,226,1072
2018-07-04 00:03:24,660,177,227,1064
2018-07-05 00:00:00,672,177,235,1084
2018-07-06 00:13:11,665,186,214,1065
2018-07-07 00:03:31,663,177,225,1065
2018-07-08 00:00:30,654,184,227,1065
2018-07-09 00:00:50,648,183,226,1057
2018-07-10 00:01:12,661,192,203,1056
2018-07-11 00:00:44,657,181,232,1070
2018-07-12 00:00:03,667,163,227,1057
2018-07-13 00:00:11,650,191,234,1075
2018-07-14 00:00:09,664,180,221,1065
2018-07-15 00:00:50,664,186,228,1078
2018-07-16 00:01:43,683,184,212,1079
2018-07-17 00:00:27,679,181,221,1081
2018-07-18 00:03:13,669,187,225,1081
2018-07-19 00:00:28,677,181,218,1076
2018-07-20 00:03:57,683,174,236,1093
2018-07-21 00:05:22,648,182,225,1055
2018-07-22 00:00:40,684,190,220,1094
2018-07-23 00:13:25,668,183,229,1080
2018-07-24 00:01:26,666,180,231,1077
2018-07-25 00:01:15,669,189,223,1081
2018-07-26 00:00:04,680,178,231,1089
2018-07-27 00:00:12,662,180,218,1060
2018-07-28 00:01:49,666,187,218,1071
2018-07-29 00:00:20,681,186,223,1090
2018-07-30 00:00:20,681,180,223,1084
2018-07-31 00:02:12,671,179,241,1091
2018-08-01 00:00:32,678,184,226,1088
2018-08-02 00:01:50,691,177,226,1094
2018-08-03 00:00:33,685,185,218,1088
2018-08-04 00:00:11,681,175,223,1079
2018-08-05 00:01:06,695,184,222,1101
2018-08-06 00:01:42,685,191,213,1089
2018-08-07 00:05:12,688,187,225,1100
2018-08-08 00:00:37,682,189,216,1087
2018-08-09 00:03:08,674,183,214,1071
2018-08-10 00:01:26,686,183,239,1108
2018-08-11 00:03:19,678,187,230,1095
2018-08-12 00:01:50,665,174,237,1076
2018-08-13 00:02:51,663,177,220,1060
2018-08-14 00:09:43,663,188,219,1070
2018-08-15 00:00:09,664,182,220,1066
2018-08-16 00:02:33,685,178,217,1080
2018-08-17 00:10:31,683,176,229,1088
2018-08-18 00:00:17,689,184,212,1085
2018-08-19 00:01:27,692,181,231,1104
2018-08-20 00:00:28,689,185,227,1101
2018-08-21 00:01:31,685,182,217,1084
2018-08-22 00:04:12,680,185,217,1082
2018-08-23 00:00:17,681,184,209,1074
2018-08-24 00:00:29,697,183,208,1088
2018-08-25 00:00:49,694,180,224,1098
2018-08-26 00:13:56,682,186,219,1087
2018-08-27 00:02:39,680,179,224,1083
2018-08-28 00:03:04,704,186,217,1107
2018-08-29 00:00:35,693,180,214,1087
2018-08-30 00:03:02,677,183,229,1089
2018-08-31 00:00:05,679,185,228,1092
2018-09-01 00:00:34,686,178,233,1097
2018-09-02 00:00:28,670,182,219,1071
2018-09-03 00:02:28,670,176,231,1077
2018-09-04 00:01:57,680,189,207,1076
2018-09-05 00:02:09,688,182,235,1105
2018-09-06 00:01:21,687,186,222,1095
2018-09-07 00:06:13,694,184,216,1094
2018-09-08 00:00:05,684,170,228,1082
2018-09-09 00:02:52,684,189,220,1093
2018-09-10 00:00:05,687,180,232,1099
2018-09-11 00:00:04,661,180,222,1063
2018-09-12 00:01:10,676,184,226,1086
2018-09-13 00:00:03,665,175,212,1052
2018-09-14 00:01:14,659,184,203,1046
2018-09-15 00:03:02,658,205,219,1082
2018-09-16 00:00:47,655,178,223,1056
2018-09-17 00:01:34,663,178,230,1071
2018-09-18 00:00:02,619,190,216,1025
2018-09-19 00:02:59,679,179,229,1087
2018-09-20 00:01:26,656,188,220,1064
2018-09-21 00:00:09,663,178,232,1073
2018-09-22 00:04:44,613,182,223,1018
2018-09-23 00:00:05,669,189,216,1074
2018-09-24 00:04:50,668,180,221,1069
2018-09-25 00:00:49,653,188,225,1066
2018-09-26 00:00:42,661,173,217,1051
2018-09-27 00:02:11,660,188,215,1063
2018-09-28 00:01:44,663,182,226,1071
2018-09-29 00:02:01,671,184,219,1074
2018-09-30 00:01:08,681,178,216,1075
2018-10-01 00:00:24,670,188,169,1027
2018-10-02 00:00:24,668,182,220,1070
2018-10-03 00:06:57,674,183,239,1096
2018-10-04 00:00:14,676,181,228,1085
2018-10-05 00:00:01,669,185,231,1085
2018-10-06 00:00:55,682,180,226,1088
2018-10-07 00:00:23,680,182,224,1086
2018-10-08 00:00:39,672,181,228,1081
2018-10-09 00:00:55,653,181,234,1068
